source,rating,body,reviewer,reviewed_at
amazon,5,"香りがとにかく好みで、毎朝のスキンケアが楽しみになりました。保湿力も高く、乾燥しがちな季節でも肌がしっとりしています。コスパも良く、大満足です！",さくら,2024-01-05
amazon,4,"テクスチャーが軽くてスーッと肌に馴染みます。ベタつきがないのがいい。ただ香りが少し強めなので、敏感な方は注意が必要かもしれません。",みかん,2024-01-12
rakuten,5,"30代に入ってから肌の乾燥が気になっていましたが、このクリームを使い始めてから明らかに改善されました。毛穴も目立ちにくくなった気がします。",ゆり,2024-01-20
amazon,2,"期待していたほどの保湿効果が感じられませんでした。成分を見るとよさそうなのですが、私の肌には合わなかったようです。使い続けると肌が赤くなりました。",はな,2024-01-28
楽天,5,"リピ買いです！使い続けると肌のキメが整ってきたのが実感できます。友達にもすすめたら喜ばれました。パッケージも上品でプレゼントにも◎",あい,2024-02-03
amazon,3,"普通に使えます。特別すごいとは感じませんでしたが、肌荒れもなく安定して使えています。もう少し価格が安ければ長く使い続けたいです。",たろう,2024-02-10
rakuten,1,"届いたときに容器が破損していました。中身は少し漏れていて、サポートに連絡したら対応してもらえましたが、初回体験としてはマイナスでした。",けんじ,2024-02-14
amazon,4,"香りが癒し系でお気に入りです。保湿力は高く、朝起きたときに肌がモチモチしています。チューブが最後まで使い切りやすい設計なのも好印象です。",ともこ,2024-02-18
amazon,5,"敏感肌でいろいろなコスメで荒れてきましたが、これは全く問題なく使えています。無香料タイプなので香りで選びたい方には向かないかもですが、安心感があります。",ももこ,2024-02-22
rakuten,4,"プチプラなのに高級感ある仕上がりです。お試しで買いましたが即リピ決定。続けて使っていたら、職場の同僚に肌がきれいになったと言われました！",のぞみ,2024-03-01
amazon,3,"使用感は悪くないのですが、効果が出るまでに時間がかかりました。1ヶ月ほど使ってやっと肌の調子が上がってきた感じです。即効性を求める方には向かないかも。",しんたろう,2024-03-07
amazon,5,"毎年冬になると手が荒れていたのですが、これを使い始めてから荒れ知らずになりました。べたつかず、水仕事の後でもすぐ使えます。家族全員で使っています！",よしこ,2024-03-12
楽天,2,"匂いが思っていたより強かったです。説明には「ほのかな香り」と書いてありましたが、私にとってはかなりきつく感じました。返品対応してもらいましたが残念でした。",みつお,2024-03-18
amazon,4,"年齢のせいかここ数年でハリがなくなっていましたが、2ヶ月使って少し改善を感じています。即効性はないけど、使い続ける価値はあると思います。",かよ,2024-03-25
rakuten,5,"ギフトでいただいて初めて使いましたが、こんなにいいものとは知りませんでした。パッケージが可愛くて、自分へのご褒美として定期購入することにしました。",りか,2024-04-01
amazon,3,"成分はよさそうなのですが、容量が少ない割に価格が高いと感じます。効果は感じますが、コスパを考えるとリピートするか迷っています。",こうき,2024-04-06
amazon,4,"肌なじみがよく、化粧下地としても使えます。一石二鳥でコスパよく使えている感覚。ただチューブが固めで最後まで出しにくいのがちょっと気になります。",ちえ,2024-04-11
rakuten,5,"肌トラブルがひどかった時期に友人に勧めてもらいました。1週間もしないうちに赤みが引いてきて、今では手放せないアイテムになっています。",かな,2024-04-16
amazon,1,"成分に合わない何かが入っていたようで、使用直後から頬が痒くなりました。パッチテストを怠った私も悪かったのですが、敏感肌の方は要注意です。",れいこ,2024-04-20
楽天,5,"気になっていた目の下の乾燥が改善されました。アイクリームより効果があると感じています。一本で顔全体に使えるのでとても経済的です。",まゆみ,2024-04-25
amazon,4,"旅行用の試供品で試してよかったので購入しました。出張や旅行のときにもコンパクトで持ち歩きやすいです。香りも爽やかで朝の気分が上がります。",けいすけ,2024-05-02
rakuten,3,"使い続けていますが劇的な変化は感じません。普通に保湿はされている感じなので悪くはないですが、高い期待を持っていたので少し残念。口コミが良すぎたかも。",あきこ,2024-05-08
amazon,5,"50代ですがこれを使い始めてから、年下の友人に若く見えるとよく言われるようになりました。大袈裟かもしれませんが、自分でも鏡を見るのが楽しくなってきました。",はるこ,2024-05-13
amazon,4,"コスメ好きの友人に勧めてもらいました。朝晩使うとコスパはそれほど悪くないです。毛穴が目立ちにくくなってきた気がするのでリピートしたいと思っています。",まき,2024-05-18
楽天,2,"配送が思ったより遅くて困りました。商品自体は普通ですが、在庫切れからの発送まで2週間かかるとは思わず。次回は別の店舗で購入を検討します。",そうた,2024-05-22
amazon,5,"ニキビ跡が気になっていましたが、2ヶ月使い続けたら明らかに薄くなりました。ビタミンC誘導体配合が効いているのかも。これからも使い続けます！",なおこ,2024-05-27
amazon,3,"テクスチャーは好きですが、夏場は少しべたつきが気になりました。冬は最高ですが、季節によって使い分けが必要かもしれません。",ひとし,2024-06-02
rakuten,4,"エコにこだわりたい私としては、詰め替え用があるのがうれしいです。プラスチックごみを減らせるし、本体を繰り返し使えるのでお気に入りです。",えみ,2024-06-07
amazon,5,"産後から肌の調子が崩れていましたが、このシリーズを使い始めてから少しずつ戻ってきた感じがします。子育て中で忙しくてもシンプルに使えるのが助かります。",ゆうこ,2024-06-12
楽天,4,"初めはトライアルセットで試しました。香りが上品で使い心地もよかったので本品を購入。定期便にすると割引があるのもうれしいです。長く愛用したいと思います。",あつし,2024-06-18
